,sku,name,brewery,rating,category,sub_category_1,sub_category_2,sub_category_3,description,region,country,abv,ibu,calories_per_serving_12oz,carbs_per_serving_12oz,tasting_notes,food_pairing,suggested_glassware,serving_temp_f,serving_temp_c,beer_type,features,sub_category_2_original,sub_category_3_original,brewery_original
535,100536,Delirium Deliria,1690,5.0,Beer,Ale,3,0,Brewed annually to honor International Womens Day by a brew team of Women in the Beverage industry selected from around the world. Deliria also partners with women-focused charities like National Breast Cancer Foundation and sponsors a scholarship program with the Pink Boots Society. The initial aroma is very fruity and floral. The liquid is pale blond with a creamy white head that clings to the glass. The flavor experience has pronounced green apple and white wine grape flavors that are elevated by a champagne-like effervescence that dissipates into a subtle bitterness. This delicious beer has the added benefit of supporting women in the beverage industry and beyond. Which is something everyone can get behind.,Melle,Belgium,8.5,25.0,,,"Floral, Green Apple, Sweet","Seafood, Spicy dishes, Chocolate desserts",Snifter/Goblet/Chalice,50-55° F,10.0-12.8° C,Craft,,Belgian-Style Ale,,Brouwerij Huyghe
536,100537,Brouweru Van Steenberge Golden Draak,1713,4.689000000000004,Beer,Ale,3,9,"The legend says the gilded dragon first featured on the prow of the ship with which the Norwegian king Sigrid Magnusson left on a crusade in 1111. He offered the statue to the emperor of Constantinople (the current Istanbul) to put it on the cupola of the Aya Sophia. Some hundred years later, the Flemish count Baldwin IX had the showpiece transported to our regions. Here, the Norwegian dragon ended up in the hands of Bruges. After the battle on the field of Beverhout in 1382, the inhabitants of Ghent took the dragon as war booty and put it on top of their Belfry. In the Belfry all communal charters were kept. The dragon had to protect these documents and it was also the symbol of the freedom and might of the city.    Such an imposing symbol that has lasted for over 6 centuries needs an equally imposing beer. Like the dragon shines at the top of the city, the Gulden Draak is part of the international top of beers. It is a dark triple, which in itself makes it an exceptional beer. But it is the complex taste with hints of caramel, roasted malt and coffee in combination with the creamy hazel head that makes it unique. It is a beer that is worthy of its name.    Like the other special beers of the Brewery Van Steenberge, Gulden Draak is a high fermentation beer with secondary fermentation. For the secondary fermentation, wine yeast is used. This also contributes to the unparalleled taste.    And of course, a unique beer deserves a unique presentation. That’s why Gulden Draak is presented in a white bottle. The white bottle, the black banner, the golden dragon and the red letters, constitute a stylish result that has no equal among the many Belgian special beers.    Gulden Draak can be drunk as an aperitif or dessert, or whenever you have the time to sit back and relax. But this barley wine is also perfect with and in stews, especially the Ghent variety. It is also a plus in sauces for red meat, such as a bordelaise. It is particularly suited as a dessert beer, especially in combination with dark chocolate.    Tip: Replace the whisky in Irish coffee by Gulden Draak or have Gulden Draak with Pas de Bleu: surprising and typical for Ghent. You will be amazed.    Gulden Draak: discover its enchanting charm and taste how different it really is.",Ertvelde,Belgium,10.5,24.0,,,,"Spicy Thai food, Blue cheese, Dark chocolate",Snifter/Goblet/Chalice,50-55° F,10.0-12.8° C,Craft,,Belgian-Style Ale,Belgian Strong Ale,Brouwerij Van Steenberge
555,100556,Brass Dupont Saison Dupont,2867,4.721000000000003,Beer,Ale,3,53,"The Saison Dupont is a top fermentation beer with refermentation in the bottle. Since 1844, this beer has been brewed in our farm-brewery, during the winter time. Then this beer became a second refermentation in the barrel. During the next summer, this very thirst-quenching beer was served to the “saisoniers” which were working on the fields. Surely therefore, our Saison Dupont is considered as “the classic” among the Belgian season beers!

Coppery blond, the finest aromas and a strong bitterness transform this beer into a thirst-quenchener with no equal, just the way it was created. Our selection of yeasts is the perfect base for these typical aromas and ditto taste. A real refermentation in the bottle, which will continue for a long time in your cellar, result into this complex and particular aromatic beer.",Tourpes,Belgium,6.5,30.0,,,,"Seafood, Spicy dishes, Soft cheeses",Snifter/Goblet/Chalice,50-55° F,10.0-12.8° C,,,Belgian-Style Ale,Saison / Farmhouse Ale,Dupont
569,100570,Gouden Carolus Hopsinjoor,3734,4.084,Beer,Ale,15,0,"Gouden Carolus Hopsinjoor completes the taste palate of the Gouden Carolus beers. “Hopsinjoor” derived from “Opsinjoor”, the typical character of Mechelen and also because of the use of 5 different kinds of hops. These hops are fractioned at a different time during the cooking process in order to conserve a maximum of aroma. Concerning the taste, the Ale has a gentle taste with a slightly bitter finish. Gouden Carolus Hopsinjoor was launched in 2008 on the Zythos Beer Festival and hit the mark: the visitors elected it as best beer, bringing Het Anker “The Consumer’s trophy Zythos Beer Festival 2008”. The beer is bottled unfiltered in order to preserve the bitterness of the hop as much as possible.",Mechelen,Belgium,8.0,35.0,,,,"Spicy Thai food, Grilled chicken, Sharp cheddar cheese","Pint Glass, Stein/Pub Mug, Snifter/Goblet/Chalice",45-50° F,7.2-10.0° C,Craft,,IPA,,Gouden Carolus
571,100572,Gulden Draak Ale,3894,4.8,Beer,Ale,3,9,"Gulden Draak has a strong scent of alcohol, which hampers the ability to easily define its aroma. Still, there is a powerful fragrance of barley, ripe plums, and cherries. Different testers worldwide mention a sweet coffee aroma. Compared to the aroma, the taste is influenced somewhat less by the alcohol. It hints at sour cherries and brown sugar. The aftertaste is somewhat bitter. Gulden Draak also has a high alcohol content for a beer at 10.5%.",Ghent,Belgium,10.5,10.0,,,,"Steak, Dark Chocolate, Blue Cheese",Snifter/Goblet/Chalice,50-55° F,10.0-12.8° C,Craft,,Belgian-Style Ale,Belgian Strong Ale,Gulden Draak
602,100603,Sam Smith Nut Brown Ale,7187,4.7,Beer,Ale,7,26,"Brewed at Samuel Smith’s small, traditional British brewery with well water (the original well sunk in 1758 is still in use), best barley malt, roasted barley, yeast and aromatic hops. Nut Brown Ale is relatively dry with a rich amber-brown colour and nutty flavour derived exclusively from small amounts of dark malt. Brown ales are a specialty of northern England. Fermented in ’stone Yorkshire squares’.",Tadcaster,United Kingdom,5.0,20.0,,,"Nutty, Toasty, Bready, Malty","Grilled steak, Roasted chicken, Dark chocolate","Pint Glass, Stein/Pub Mug",45-50° F,7.2-10.0° C,Craft,,Brown Ale,English Brown Ale,Samuel Smith
603,100604,Samuel Smith's Nut Brown Ale,7187,4.6287,Beer,Ale,7,26,"Brewed at Samuel Smith’s small, traditional British brewery with well water (the original well sunk in 1758 is still in use), best barley malt, roasted barley, yeast and aromatic hops. Nut Brown Ale is relatively dry with a rich amber-brown colour and nutty flavour derived exclusively from small amounts of dark malt. Brown ales are a specialty of northern England. Fermented in ’stone Yorkshire squares’.",Tadcaster,United Kingdom,5.0,20.0,,,,"Grilled steak, Roasted chicken, Dark chocolate","Pint Glass, Stein/Pub Mug",45-50° F,7.2-10.0° C,Craft,,Brown Ale,English Brown Ale,Samuel Smith
610,100611,St. Bernardus Tripel,7794,4.553999999999999,Beer,Ale,3,58,"St.Bernardus Tripel is a traditional abbey ale brewed in the classic ""Tripel"" style of Belgium's best Abbey Ales. It has a blond to pale amber color with a wonderful head, slightly sweet aroma and the orangey-grassy flavors of hops in the finish. Wonderfully drinkable and surprisingly light (8,0% ABV)",Watou,Belgium,8.0,20.0,,,,"Spicy Thai curry, Roasted chicken, Belgian waffles",Snifter/Goblet/Chalice,50-55° F,10.0-12.8° C,Craft,,Belgian-Style Ale,Tripel,St. Bernardus
615,100616,Tre Fontane Trappist Tripel Ale,8515,4.901999999999998,Beer,Ale,3,58,"Honeyish, mildly herbal with a subtle Eucalyptus aftertaste. Mildly spicy and balanced by a stiff bitterness. Dry finish with residual malt, fruit, and hops.",Rome,Italy,8.5,38.0,,,,"Spicy Thai curry, Grilled chicken, Creamy goat cheese",Snifter/Goblet/Chalice,45-50° F,7.2-10.0° C,,,Belgian-Style Ale,Tripel,Tre Fontane
627,100628,Samuel Smith Organic Pale Ale,7187,5.0,Beer,Ale,15,0,"A classic malt-accented, copper-colored pale ale in which subtle fruity esters from the Samuel Smith yeast strain interact with caramel flavors - from organic crystal malt - and fresh hops.",Tadcaster,United Kingdom,5.0,32.0,,,,"Spicy chicken wings, Grilled salmon, Sharp cheddar cheese","Pint Glass, Snifter/Goblet/Chalice",45-50° F,7.2-10.0° C,Craft,,IPA,,Samuel Smith
651,100652,Malheur #12 Belgium Ale,1694,4.735000000000002,Beer,Ale,3,0,"Malheur beers are noble, living beers that are conditioned in the bottle and cask. They undergo a flavour evolution and a positive aging process as a result. The Malheur 12°, with its 12% alcohol by volume and deep chestnut colour is the crown jewel in the family of Malheur quality beers.",Buggenhout,Belgium,12.0,33.0,,,,"Cheese, Charcuterie, Grilled Chicken",Snifter/Goblet/Chalice,50-55° F,10.0-12.8° C,,,Belgian-Style Ale,,Brouwerij Malheur
652,100653,Duvel Belgian Ale,2880,4.8,Beer,Ale,3,9,"Duvel is unique. No other beer is made like it, or tastes like it. Blonde and refreshing like a Pilsner, but with the flavor, depth and complexity of an ale, Duvel defines the Strong Golden Ale category. The beers golden hues originate with its Pilsner malts, while Bohemian hops and a unique yeast strain add character, intensity, and a certain verve. Its this beguiling nature that has made Duvel a Belgian favorite. ABV 8.5",Breendonk-Puurs,Belgium,8.5,32.0,,,"Honey, Bright, Fruity, Stone Fruit","Mussels, Charcuterie, Spicy Thai cuisine",Snifter/Goblet/Chalice,50-55° F,10.0-12.8° C,Craft,,Belgian-Style Ale,Belgian Strong Ale,Duvel
653,100654,Duvel Gift Box Set with Glass,2880,5.0,Beer,Ale,13,0,Be proud to give The Golden Gift Box. This handsome package includes 11.2 ounce bottles of Duvel and original Duvel glass. Top fermented golden ale and bottle conditioned.,Puurs,Belgium,8.5,32.0,,,,"Cheese, Charcuterie, Spicy Thai dishes",Pint Glass,45-50° F,7.2-10.0° C,Craft,,Golden / Blonde Ale,,Duvel
666,100667,Blaker Siege Of The Pineapple Milkshake Hazy IPA,1197,4.212999999999999,Beer,Ale,15,43,"There shall not be any more juice spilled and we shall stand firm to bring happiness, laughter and most importantly, beer. This is a tale as old as time, this is The Siege of the Pineapple. 

The fermentors have risen and the hops are prepared for battle, fighting for the freedom for the Republic of Pineapple's Bill of Rights. Finally released from the disarray of pizza toppings and liberated to be where pineapple is meant to shine, in our Hazy IPA.

Siege of the Pineapple is the outcome of a juicy collision of two very tropical hops and elevated your tastebuds using lactose and vanilla bean creating one hell of a milkshake.",Oslo,Norway,7.1,45.0,,,,"Spicy Thai curry, Grilled pineapple skewers, Coconut shrimp",Snifter/Goblet/Chalice,45-50° F,7.2-10.0° C,,,IPA,New England / Hazy IPA,Blaker
693,100694,Brouwerij De Halve Maan Straffe Hendrik Quadrupel Ale,1675,4.671999999999999,Beer,Ale,3,49,"Straffe Hendrik is a powerful beer with rich flavours of malt and hop. 

The Straffe Hendrik family consist of a golden tripel, a brown quadrupel and the limited editions of Heritage and Wild. All beers have a high alcohol percentage and are rich in flavours and taste. 

They are strongly hopped and brewed with a subtle mixture of different kinds of malt of the highest quality. The taste of the beers evolves as the years go by.",Bruges,Belgium,11.0,26.0,,,,"Beef, Dark Chocolate, Blue Cheese",Snifter/Goblet/Chalice,45-50° F,7.2-10.0° C,,,Belgian-Style Ale,Quadrupel,Brouwerij De Halve Maan
699,100700,Chimay Grande Reserve,2187,4.8,Beer,Ale,3,9,"The Chimay Blue Cap, ""baptized'  ""Grande Reserve"" in 750 ml bottles is a dark Trappist beer with a powerful aroma, the complex flavour of which improves across the years. It was first brewed as a Christmas beer, explaining the presence of a ""vintage"".    This authentic Belgian beer, whose tinge of fresh yeast is associated with a light rosy flowery touch, is particularly pleasant. Its aroma, perceived as one enjoys it, only accents the delightful sensations revealed by the odour, all revealing a light but agreeable caramelized note.",Chimay,Belgium,9.0,35.0,,,"Dark Fruit, Caramel, Bold, Fig","Beef, Lamb, Chocolate",Snifter/Goblet/Chalice,50-55° F,10.0-12.8° C,Craft,,Belgian-Style Ale,Belgian Strong Ale,Chimay
714,100715,Innis & Gunn Mango IPA,4467,3.82,Beer,Ale,15,0,"This son of a Gunn is the frutiest number we have ever brewed. We've taken the frutiest hops we could find, turned them into an IPA, then added a mountain of mangoes. 

Citrus fruits and sweet mango. Light, fresh with tropical fruit flavours. Silky smooth with lingering hoppy bitterness. Rich Gold color.",Edinburgh,United Kingdom,5.6,45.0,,,"Citrus, Hoppy, Tropical Fruit","Spicy Thai curry, Grilled chicken, Mango salsa","Pint Glass, Snifter/Goblet/Chalice",45-50° F,7.2-10.0° C,"Craft, Independent Craft Brewer",,IPA,,Innis & Gunn
745,100746,Rochefort 6,7039,4.4879999999999995,Beer,Ale,3,21,"Rochefort 6 (red cap, brown beer, 7.5% ABV). Reddish colour, brewed only about once per year, representing approximately 1% of total beer production. This beer begins with a density of 16.5º Plato is 7.5% ABV. “Rochefort 6” is the oldest Rochefort Trappist beer and was brewed empirically until the end of the Second World War. Until 1958, this was the only Rochefort beer that was bottled in both 33 cc bottles and 75 cc bottles. It has a strong malt taste and is slightly bitter.",Rochefort,Belgium,7.5,19.0,,,,"Beef, Lamb, Chocolate",Snifter/Goblet/Chalice,50-55° F,10.0-12.8° C,Craft,,Belgian-Style Ale,Dubbel,Rochefort
763,100764,Orval Trappist Ale,1437,4.5,Beer,Ale,3,0,"Sunset-orange color; a fruity and slightly acidic bouquet, firm body, profound hop bitterness, and long, dry finish",Florenville,Belgium,6.2,32.0,,,,"Cheese, Charcuterie, Grilled Chicken",Snifter/Goblet/Chalice,50-55° F,10.0-12.8° C,Craft,,Belgian-Style Ale,,Brasserie d'Orval
772,100773,Westmalle Trappist Tripel,9015,5.0,Beer,Ale,3,58,"Westmalle Tripel is a clear, golden yellow Trappist beer that undergoes a secondary fermentation in the bottle. It is a complex beer with a fruity aroma and a nice nuanced hop scent. It is soft and creamy in the mouth, with a bitter touch carried by the fruity aroma. An exceptional beer, with a great deal of finesse and elegance. And with a splendid long aftertaste. ABV 9.5",Westmalle,Belgium,9.5,36.0,,,"Honey, Stone Fruit, Smooth, Fruity","Spicy Thai curry, Roasted chicken, Aged Gouda cheese",Snifter/Goblet/Chalice,50-55° F,10.0-12.8° C,Craft,,Belgian-Style Ale,Tripel,Westmalle
798,100799,Delirium La Guillotine,1690,4.744000000000001,Beer,Ale,3,9,"Golden blond, multigrain beer with a very persistent, lacing head. Scent: A complex smell, with a citrus aroma, followed by hop aromas such as Saaz, Brewers Gold and Amarillo. Flavour: Initially rather sweet, because of the alcohol. The intense taste and roundness mask the presence of high bitterness.",Melle,Belgium,8.5,32.0,,,,"Mussels, Charcuterie, Belgian Waffles",Snifter/Goblet/Chalice,45-50° F,7.2-10.0° C,Craft,,Belgian-Style Ale,Belgian Strong Ale,Brouwerij Huyghe
835,100836,Duvel Tripel Hop,2880,3.0,Beer,Ale,3,9,"In 2007 the brewers at Duvel started innovating with a third hop variety to give Duvel a surprising
twist and some extra bitterness. Six Tripel Hops later, in 2016, Duvel went in search of the ultimate
Duvel Tripel Hop. More than 5,000 fans tasted and voted, and Citra was clearly the favorite. The
Duvel Tripel Hop with citra not only won a gold medal at the Brussels Beer Challenge, it was also
awarded the consumer trophy at the Zythos Beer Festival.
Our brewers do not simply add a third hop variety when creating the Tripel Hop, we also apply a
special process of dry-hopping. In this case, besides adding the usual hops during the cooking
process, extra hop cones are added at a later stage in the brewery process (during the lagering
process). This intensifies and refines the hop aromas in the finished beer. The aromatic third hop is
grown in the Yakima Valley in Washington and enriches the flavor palate with fresh hints of
grapefruit and tropical fruit.",Breendonk-Puurs,Belgium,9.5,45.0,,,"Strong, Fruity, Hoppy, Herbal","Spicy Thai curry, Grilled shrimp, Aged Gouda cheese",Snifter/Goblet/Chalice,50-55° F,10.0-12.8° C,Craft,,Belgian-Style Ale,Belgian Strong Ale,Duvel
